0;1;2;3;4;5;6;7;8;9;10
Reitoria;Portaria;1062 - 2014;2014;05/06/2014;Homologa Política de Seleção e Desenvolvimento de Coleções das Bibliotecas do Ifes;https://gedoc.ifes.edu.br/visualizarDocumento/?d=L3Zhci9zb2xyL3NoYXJlL2JvbGV0aW0vUmVpdG9yaWEvR1IvMjAxNC9OIDA2L1BvcnRhcmlhIG7CuiAxMDYyIC0gMjAxNCAtIEhvbW9sb2dhIFBvbMOtdGljYSBkZSBTZWxlw6fDo28gZSBEZXNlbnZvbHZpbWVudG8gZGUgQ29sZcOnw7VlcyBkYXMgQmlibGlvdGVjYXMgZG8gSWZlcy5wZGY=&inline;I – Administração Geral (infraestrutura, organização e funcionamento);;PROEN;
Reitoria;Resolução;19;2010;09/06/2010;Cria o Cepe - Conselho de Ensino, Pesquisa e Pós-Graduação, Extensão e Produção do Instituto Federal do Espírito Santo – Ifes;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_19_2010_cria_CEPE.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CEPE;
Reitoria;Resolução;23;2010;14/06/2010;Instituir o Regimento Interno do Conselho Superior do Ifes;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_23_2010_Reg_Interno_Conselho_Superior.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;25;2010;17/06/2010;Estabelece apoio financeiro destinado aos alunos membros do Conselho Superior do Ifes;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_25_2010_apoio_finc_alunos.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;31;2010;04/08/2010;Aprova a operacionalização do Sistema de Concessão de Diárias e Passagens – SCDP e demais procedimentos no âmbito do Instituto Federal do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_31_2010_Sistema_SCDP.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;62;2010;10/11/2010;Aprova alteração do Estatuto do Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/resolucao_44_a_62/Res_CS_62_2010.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;63;2010;16/11/2010;Aprova o Regimento Interno do Conselho de Gestão dos campi do Instituto Federal do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/Res_CS_63_2010_gestao_campi.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;64;2010;22/11/2010;Aprova o Regimento Geral do Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/64-reg_geral/Res_CS_64_2010_Regimento_Geral_do_Ifes.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;63;2011;10/11/2011;Delega Diretores Procedimentos Eleições;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2011/RES_CS_63_2011_Delega_Diretores_Procedimentos_Elei%C3%A7%C3%B5es_Con%E2%80%A6.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;69;2011;08/12/2011;Altera Denominação do Cepe;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2011/Res_CS_69_2011_altera_denomina%C3%A7%C3%A3o_do_Cepe.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CEPE;
Reitoria;Resolução;72;2011;20/12/2011;Regimento Interno de Referência dos Campi;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2011/Res_CS_72_2011_regimento_interno_de_refer%C3%AAncia_dos_campi.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);;CONSUP;
Reitoria;Resolução;25;2012;08/05/2012;Aprovar o Regimento Interno do Campus de Alegre;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_25_2012.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);;CONSUP;
Reitoria;Resolução;30;2012;08/05/2012;Regimento Conselho de Gestão Campus Piúma / Não houve publicação de resolução;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_30_2012_-_Regimento_Interno_Conselho_de_Gest%C3%A3o_campus_Pi%C3%BAma.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);;CONSUP;
