0;1;2;3;4;5;6;7;8;9;10
Reitoria;Resolução;61;2015;18/12/2015;Delega competencia ao Cepe para aprova Codigo de Etica Discente;https://www.ifes.edu.br/images/stories/files/Institucional/conselho_superior/2015/resolucoes/Res_CS_61_2015_-_Delega_compet%C3%AAncia_ao_Cepe_para_aprovar_c%C3%B3digo_de_%C3%89tica_e_Disciplina_Discente.pdf;I - Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;Confirmar se é Consup – verificar o eixo
Reitoria;Resolução;61;2019;13/12/2019;Institui a Comissão Permanente de Verificação da Autodeclaração (CPVA) e estabelece e regulamenta os procedimentos e os critérios de verificação da veracidade da autodeclaração em Processo Seletivo Discente do Instituto Federal do Espírito Santo.;https://ifes.edu.br/images/stories/Res_CS_61_2019_-__Comiss%C3%A3o_Permanente_de_Verifica%C3%A7%C3%A3o_Autodeclara%C3%A7%C3%A3o_CPVA.pdf;I - Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;REITOR;
Reitoria;Resolução;1;2021;26/02/2021;Determina a suspensão das atividades presenciais até 28 de fevereiro de 2021.;https://ifes.edu.br/images/stories/Resolu%C3%A7%C3%A3o_CS_1_2021_-_Autoriza_suspens%C3%A3o_das_atividades_letivas_presenciais_at%C3%A9_28_02_2021.pdf;I - Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;Confirmar se é do Consup e verificar o eixo
Reitoria;Resolução;2;2021;26/02/2021;Autoriza a manutenção da suspensão das atividades letivas presenciais até o dia 30 de junho de 2021.;https://ifes.edu.br/images/stories/Resolu%C3%A7%C3%A3o_CS_2_2021_-Autorizar_a_manuten%C3%A7%C3%A3o_da_suspens%C3%A3o_das_atividades_letivas_presenciais_at%C3%A9_o_dia_30_de_junho_de_2021.pdf;I - Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;Confirmar se é do Consup e verificar o eixo
Reitoria;Resolução;55;2011;08/11/2011;Delega CEPE Aprovação ROD;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2011/RES_CS_55_2011_Delega_CEPE_Aprova%C3%A7%C3%A3o_ROD.pdf;"I - Administração Geral (infraestrutura, organização e funcionamento);";VIGENTE;CONSUP;
Reitoria;Portaria;1062 - 2014;2014;05/06/2014;Homologa Política de Seleção e Desenvolvimento de Coleções das Bibliotecas do Ifes;https://gedoc.ifes.edu.br/visualizarDocumento/?d=L3Zhci9zb2xyL3NoYXJlL2JvbGV0aW0vUmVpdG9yaWEvR1IvMjAxNC9OIDA2L1BvcnRhcmlhIG7CuiAxMDYyIC0gMjAxNCAtIEhvbW9sb2dhIFBvbMOtdGljYSBkZSBTZWxlw6fDo28gZSBEZXNlbnZvbHZpbWVudG8gZGUgQ29sZcOnw7VlcyBkYXMgQmlibGlvdGVjYXMgZG8gSWZlcy5wZGY=&inline;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;PROEN;
Reitoria;Resolução;19;2010;09/06/2010;Cria o Cepe - Conselho de Ensino, Pesquisa e Pós-Graduação, Extensão e Produção do Instituto Federal do Espírito Santo – Ifes;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_19_2010_cria_CEPE.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CEPE;
Reitoria;Resolução;23;2010;14/06/2010;Instituir o Regimento Interno do Conselho Superior do Ifes;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_23_2010_Reg_Interno_Conselho_Superior.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;25;2010;17/06/2010;Estabelece apoio financeiro destinado aos alunos membros do Conselho Superior do Ifes;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_25_2010_apoio_finc_alunos.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;31;2010;04/08/2010;Aprova a operacionalização do Sistema de Concessão de Diárias e Passagens – SCDP e demais procedimentos no âmbito do Instituto Federal do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/RES_CS_31_2010_Sistema_SCDP.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;62;2010;10/11/2010;Aprova alteração do Estatuto do Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/resolucao_44_a_62/Res_CS_62_2010.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;63;2010;16/11/2010;Aprova o Regimento Interno do Conselho de Gestão dos campi do Instituto Federal do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/Res_CS_63_2010_gestao_campi.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;64;2010;22/11/2010;Aprova o Regimento Geral do Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2010/64-reg_geral/Res_CS_64_2010_Regimento_Geral_do_Ifes.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;63;2011;10/11/2011;Delega Diretores Procedimentos Eleições;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2011/RES_CS_63_2011_Delega_Diretores_Procedimentos_Elei%C3%A7%C3%B5es_Con%E2%80%A6.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;69;2011;08/12/2011;Altera Denominação do Cepe;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2011/Res_CS_69_2011_altera_denomina%C3%A7%C3%A3o_do_Cepe.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CEPE;
Reitoria;Resolução;72;2011;20/12/2011;Regimento Interno de Referência dos Campi;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2011/Res_CS_72_2011_regimento_interno_de_refer%C3%AAncia_dos_campi.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;25;2012;08/05/2012;Aprovar o Regimento Interno do Campus de Alegre;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_25_2012.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;30;2012;08/05/2012;Regimento Conselho de Gestão Campus Piúma ;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_30_2012_-_Regimento_Interno_Conselho_de_Gest%C3%A3o_campus_Pi%C3%BAma.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;32;2012;10/05/2012;Aprovar o Regimento Interno do Conselho de Gestão do Campus Linhares;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_32_2012_-_Aprova_o_Regimento_Interno_do_Conselho_de_Gest%C3%A3o_do_campus_Linhares_-_Alterado_pela_Resolu%C3%A7%C3%A3o_45_2016.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;33;2012;10/05/2012;Aprovar o Regimento Interno do Conselho de Gestão do Campus Venda Nova do Imigrante;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_33_2012.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;SolicItar a Dani avisar ao Colegio Dirigentes - Resolução 03/2020 - Regimento Geral do Conselho de Gestão
Reitoria;Resolução;46;2012;13/07/2012;Aprovar o Regimento Interno do Conselho de Gestão do Campus Guarapari;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_46_2012_-_Aprova_o_Regimento_Interno_do_Conselho_de_Gest%C3%A3o_do_campus_Guarapari_-_Alterado_pelas_Resolu%C3%A7%C3%B5es_47_2016_e_15_2014.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;SolicItar a Dani avisar ao Colegio Dirigentes - Resolução 03/2020 - Regimento Geral do Conselho de Gestão
Reitoria;Resolução;47;2012;19/07/2012;Aprovar o Regimento Interno do Conselho de Gestão do Campus Vitória;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_47_2012.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;SolicItar a Dani avisar ao Colegio Dirigentes - Resolução 03/2020 - Regimento Geral do Conselho de Gestão
Reitoria;Resolução;48;2012;19/07/2012;Aprovar o Regimento Interno do Conselho de Gestão do Campus Itapina;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_48_2012_-_Regimento_Interno_Conselho_de_Gest%C3%A3o_do_campus_Itapina_-_Alterada_pela.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;SolicItar a Dani avisar ao Colegio Dirigentes - Resolução 03/2020 - Regimento Geral do Conselho de Gestão
Reitoria;Resolução;49;2012;19/07/2012;Aprovar o Regimento Interno do Conselho de Gestão do Campus Aracruz;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_49_2012.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;SolicItar a Dani avisar ao Colegio Dirigentes - Resolução 03/2020 - Regimento Geral do Conselho de Gestão
Reitoria;Resolução;50;2012;19/07/2012;Aprovar o Regimento Inerno do Conselho de Gestão do campus Vila Velha;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_50_2012_Reg_Int_Campus_e_Conselho_de_Gestao_Vila_Velha%20(2).pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;SolicItar a Dani avisar ao Colegio Dirigentes - Resolução 03/2020 - Regimento Geral do Conselho de Gestão
Reitoria;Resolução;58;2012;08/10/2012;Aprovar o Regimento Interno do Campus Colatina;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_58_2012_Regimento_Interno_Campus_Colatina.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;60;2012;17/12/2012;Autoriza aquisição de terreno para o Campus Ibatiba;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2012/Res_CS_60_2012_aquisicao_terreno_Campus_Ibatiba.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;51;2013;18/12/2013;Homologa o Regulamento Interno na Unidade de Auditoria Interna;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2013/Res_CS_51_2013_regulamento_da_Auditoria_Interna_do_Ifes.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;Demanda para a Audin
Reitoria;Resolução;56;2013;26/12/2013;Aprovar o Regimento Interno do Campus Santa Teresa;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2013/_Res_CS_56_2013_homologa_Regimento_Interno_Campus_Santa_Ter%E2%80%A6_.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;1;2014;27/01/2014;Aprovar o Regimento Interno do Campus Cachoeiro de Itapemirim;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/res_CS_01_2014_reg_int_campus_cachoeiro_.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;2;2014;21/02/2014;Regula o Processo Eleitoral para os representantes do Corpo Docente, do Corpo Discente e do Corpo Técnico-Administrativo no Conselho Superior do Ifes e define normas para o Colégio Eleitoral.;https://ifes.edu.br/images/stories/Resolu%C3%A7%C3%A3o_CS_2_2014_-_Resolu%C3%A7%C3%A3o_Processo_Eleitoral.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;15;2014;23/05/2014;Altera a Resolução CS nº 46/2012, que aprova o Regimento Interno do Conselho de Gestão do Campus Guarapari;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_15_2014_Altera%C3%A7%C3%A3o_Reg_Int_Conselho_de_Gest%C3%A3o_Guarapari_Res_CS_46_2012_e_revoga_Res_CS_30_2013.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;18;2014;23/05/2014;Dispõe sobre a regulamentação do uso de veículo oficial;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_18_2014_Regulamento_uso_Veiculo_oficial.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;
Reitoria;Resolução;22;2014;27/06/2014;Aprova o Regimento Interno da Comissão de Ética;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_22_2014_Aprova%C3%A7%C3%A3o_Regimento_comiss%C3%A3o_de_%C3%A9tica.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);VIGENTE;CONSUP;Verificar com a comissão
Reitoria;Resolução;24;2014;27/06/2014;Altera a Resolução CS nº 63/2010 que aprova o Regimento Interno do Conselho de Gestão dos campi do Instituto Federal do Espírito Sant;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_24_2014_Altera_CS_63_2010_Regimento_Conselho_de_Gest%C3%A3o.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;26;2014;27/06/2014;Aprovar o Regimento Interno do Conselho de Gestão do Campus Montanha;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_26_2014_Aprova%C3%A7%C3%A3o_Regimento_do_Conselho_de_Gest%C3%A3o_campus_Montanha.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
Reitoria;Resolução;29;2014;27/06/2014;Altera a Resolução CS nº 33/2012, que aprova o Regimento Interno do Conselho de Gestão do Campus Venda Nova do Imigrante;https://ifes.edu.br/images/stories/files/Institucional/conselho_superior/2014/Res_CS_29_2014_altera%C3%A7%C3%A3o_Res_33_2012_-_Reg_Int_Conselho_de_Gest%C3%A3o_Venda_Nova_do_Imigrante.pdf;I – Administração Geral (infraestrutura, organização e funcionamento);REVOGADO;CONSUP;
